userName,Review
Firman,sangat bagus
Sunarso Sunarso,sangat baik
Pingkan Runtuwene,lama ini produk selalu bagus sampai good dalam kirim moga bagus terus deh sukses selalu thanks
Hengki Vicky,tolong tokopedia bikin bijak proses pesan jangan lebih dari atau pesan otomatis batal jika proses pesan lebih dari hatiri biar jual tidak semena-mena proses pesan alam tidak enak beli barang dan status pesan proses sampai dan akhir barang tidak kirim dan batal otomatis telah lima padahal jual sudah di chat tapi direspon dengan menyuruha sabar dan tunggu
capek de,itu kenapa cod hanya bisa di pakai x saja
MKD Channel,saya bagai di tokped sedikit kecewa karna cari dana jual biasa x jadi kerja
Esy azhary,aplikasi online shop yang banyak voucher diskon gede gede gokil
M.Nashiril Haqqi,tolong lah kasih ruang untuk pngiriman dengan metode cod blangsak bangt kalo mau cekout jarang ada sistm cod batal pngiriman ta tentu ta pernah tepat waktu
Nur Hamidah,murahterjangkau dan cepat
Rara Andrika,lambat
Ilham Thecivmank,iklan lu risih bngt
Sinyo 3535,bagus dan baik
Hedy Suhaedi,toped sekarang udah lebih baik belanja online makin senang
Candra Hermawan,sangat bantu
MG Gunawan,tempt belanja percaya
Sabrina Aulia,harga nya aman kantong
Syahrul Fauzan,kok abis update aplikasi malah tidak bisa top-up bayar seperti isi ulang pulsa kuota isi e-money tolong dipeaiki lagi sistem
Ami Rate,aplikasi yg sangat bantu
ANKA Chanel,terahir aktif jual di tampilin admin masak dari pertama order sampai batal otomatis tidak ada respon dari jual udah nunggu lama eh batal
Kevin Sueya putra,bagus banget
OriNdeso ch,makin tidak jelas
Sofyan Hadi,sangat bantu
Bambang Wijaya,bantu
Yojji 22,kenapa sekarang sudah tidak ada gratis ongkir
dapur mantul,sekarang ongkirnya mahal
Sabhira Naureen,mantap
zulfakar muhammad,respon cepa
EMO SUDHARMANTO,banyak gratis ongkir nya
Susfa Rida,moga tokopedia selalu amanah yaa
Yoko Prayitno,mantap
Bagus Tri Pujihadi Santoso,dulu bisa lihat pihak toko dalam ada aktif atau tidak sekarang jadi tidak tau toko mana yg aktif
mira sanrai,layan sudah cukup bagus tapi tetap tingkat agar langgan makin percaya dan pilih tokopedi semangat
Rudiansyah,good
Siburian Rian,moga kembang pesat dan manfaat marah sayasaya baru mula
BEBUP CHANNEL,sekarang udah gak bisa kliatan akhir online toko berapa terus fitur hapus chat inbox tidak ada banyak inbox yang sudah lama tidak bisa hapus
Danial Anwar,alhamdulillah baik
Ismail,mantap
Agus Setiawan,bagus dan mudah guna
Kusuma Rini,layan bagus
Adib Mohamad,maaf admin lenceng saya cuman mau tanya aplikasi mitra kok g bisa pakai apa ada peaikan atau emang udah g ada terima kasih
Tiara Dufantia,harga jgn mahal
Dimarifa dy,halo tokped mitrapedia tidak bisa dipake lagi kayak iya sekarang alih ke tokped tolong tambah fitur bisa cetak dengan printer bluetooth dong seperti mitrapedia
Ietje Guntur,mudah dan cepat diskon ongkir lumayan kalau ada komplain segera proses
Irwan Susilo,alhamdulillah sangat bantu sekali
Dani Zacky,sangat cepat proses cek
Windo Setiadi,barang sesuai dengan apa yang di deskripsi dan kirim terin
Robi Yanto,moga untuk di depan makin maju
Bajingan Joh,sangat baik
Nenih Nurhasanah,oke
Mmaaat Camat,tokopedia sukses slalu
DEWI Cahyasari,tarik dan sangat flexibel
Junio C. Benovan,satset
Irawan vino,good apk
Excell,bayar yang cepat
Bayu Kartika Aji,semenjak update jadi tidak bisa di geser feed postingan jual
Jelani 12,di cepat lah tari saldo refund
kokoh kurniawan,tingkat quality atas original barang yg tawar sesuai dgn iklan promo
Arum Bebeh,baik
Leni Nurlita,suka banget sama aplikasi ini
Yuli Prasetyo,admin akun tokopedia saya retas minta tolong di blokir admin
Adnan Faruq,oke
Deni Yana,aplikasi sudah bagus tapi ada kurang tidak bisa ubah ulas paket yg sudah beli
wistirah wistirah,best
Ashar Budiwiyono,kadang kadang bagus kadang lamban
Ariyan Si bolang,tokopedia sekarang gak wangi lagi pelit gak pernah ada discon terus barang mahal mahal kena ongkir lagi itu cuman toko pilih
Surya Wibisana,hapus kurir rekomendasi biang lelet gabung tiktok makin gak banget tampil bye pindah toko oren
Tunggal,harga lebih kompetitif
Arlina Defi,belanja di tokped banyak harap palsu nyari voucher nya susah payah pas udah co toko tutup jadi barang tidak kirim saldo kembali tapi voucher hilang co lagi udah kirim tapi barang hilang tengah jalan saldo kembali voucher hangus lagi lama jadi males belanja
Archer 09,bagai seller dan customer saya kira semenjak gabung dengan tiktok tokopedia bukan makin baik justru malah turun dari segi mana makin ribet ruwet dan tele moga tidak hanya masa transisi saja
Ipin Ilham,bagus
huri istna,top banget gak nyesel deh sering beli sini
hardika maswangon,mantap gan
Dopi angga Syaputra,mantap
rico diyantoro,toko belah banyak gratis ongkirnya beda ama ini cuman di tanggal tentu doang itu juga ada jumlah minimal belanja toko belah gratis ongkir
asep reza,udah di update logo aplikasi masih dan sekarang belanja malah lebih mahal contoh belanja ongkir jadi yg bener saja malah makin mahal sekarang tokped
Juntak M18,mantap
rehan barabood,oke
Muhamad Sanusi,muas
Nurhayati Panjaitan,aplikasi terviral di bisnis digital teaik
Yoga Nugraha,tambahin opsi panjang batas waktu kirim dong
Yosep Supriatna,mantap
Lucky Firmansyah,bagus mudah dan cepat
chanel hiburan,terlalu banyak updatepertama update sekarang minta lagi update padahal telah saya peandingkan pitur nya cuman itu itu saja
Azmy Alkriani,apakah sudah tidak bisa dftar affiliate lagi
EboyGrafitty Channel,saya sudah pakai tokopedia saya turunin bintang karena komplain ke jual yg nakal tidak segera kirm barang chat gak pernah direspon minta batal order harus nunggu tuju jual jual olah abai dan cuek waktu batal harus nunggu batal otomatis yg lama sekali soal kalo jual respon saya bisa beli di toko lain makin lama tokopedia hampir sama seperti toko online yg warna merah yg banyak sekali tuk tipu
Ilham,good aplikasi
asep nurdin,banyak ke untung bagi guna baru
Ozat Nika,bgus
Ai Kartini,tokopedia langgan tidak bisa lain hati tambah kembang tokopedia
Nendrow,bagus
Wayan Surudarma,baik
Agoes Noersinggih,semua aplikasi olshop sudah saya coba akhir dlm jangka panjang saya pilih toped utk jadi default olshop tapi karena promo nya kurang relevan seperti tulis gratis ongkir tapi msh juga kena ongkir dll akhir sekarang saya lebih pilih toko belah yg seperti teukti lebih baik
Farhan Adi,suka banget sama apk satu ini
Agus Mufid,gada gratis ongkirnya
suken,halo admin tombol diskusi kenapa tidak bisa akses hanya chat yang sedia
Farhan,iklan lu nyebelin sumpah
Lukman Sabik,mantap
Ackom Suryanurdin,oke
Sayem,baik
YANTO AUDI,oke
agus tinus,ini saya turun bintang karna cs lama baru tau di aplikasi ini batal bulan dari beli kena potong hati bli di tokped beli kena biaya layan batal kena biaya layan meski yg batalin bukan beli sungguh apa hanya duit
Noval Dzaki,kok mau chek malah eror terus yaa
Halwi Sihab,tokopedia sangan bantu saya dalam segala hal
Tomy Domu Hasiholan,oke bagus coba di tingkat cara bayar nya ada metode bayar lalu qris
Muhtar Ovien,mantap lebih simple dan kren
Muhammad zulfan Hasan,gampang kalo mau bayar bisa lewat bayar digital
Prana Sanjaya,aplikasi yg sgt mudah bantu sekaleee
mhd ating,belanja di sini muas layan bagus dan tanggung jawab lebih di tingkat lagi trims tokped
Suhar,tolong di peaiki appsnya skarang banyak banget toko yg kasih harga murah tapi pas mw checkout kagak bisa tulis error jadi kayak kesan dimanfaatin buat iklan gratis sering jebak mulu ampe stress saya pake nih apps sementara pindah shopee dulu lah
Saepul Akbar,mohon untuk pihak toko dia saya tidak pernah guna aplikasi tokopedia dan saya tidak pernah laku transaksi apaun di aplikasi tapi tiba saya wa notifikasi kode verifikasi padahal saya tidak guna aplikasi ini mohon apabila ada hal luar kendali saya saya tidak pernah pakai aplikasi ini terima kasih
Mohamad Ridwan Morid,oke daahh
Nur Sholihin,bagus sekali
Rainers khan Sianipar22,oke
Eka mulyana Mulyana,respon bagus kirim cept
muhammad gilang,makin lama promonya makin sedikit gak ada gratis ongkir dulu selalu pake tokopedia sekarang udah pindah ke ecommerce seblah
Syahrudin,muas langgan di tokopedia
nhay,fitur shake sangat menggangu sekali tidak ada cara mati atur dan setel uninstall dulu
Abdurrahman,sangat bantu
YAYAN YUDIAWAN,sangat mmbantu
Kadek Mandayana,good shopinhg
henry kusuma,makin buruk
Agus Iwan,oke mantab
Kenzo Chan,keren memang ini aplikasi banyak barang yang bisa beli saya sering pesan lengkap tamiya sini
Diky Setiabudi,bagus turut saya tapi kecepetan update nya kalo bisa jangan sering update
Wahyu Habib,pernah belanja tokpedia cuman kurir tidak serta
jamaludin,terima kasih dan sukses selalu buat tokopedia
Wawan Elektronik Genteng,batal pesan terlalu teelit belit padahal sudah teukti jual tidak aktif mesti harus nunggu berapa baru bisa di kembali uang kita beeda dengan apk belanja lain yang penting bukti nyata cepat proses
NAZQ NASH,ribet mau mindahin nomer ke akun lain
Simba Emeng,kata telah kali transaksi di transaksi ikut dapat voucher belanja malam aku co tak tunggu kok gak ada pesan masuk dari voucher gimana ini
Eman Wilsen,aktipin lagi apk mitra tokopedia nya
ICB ICB,sejak beli tiktok banyak fitur jadi aneh bahkan cair otomatis pun dari jadi
Dijah Wanto,cukup puas
ayub lesmana,tidak usah downloadklo ada komplen soal pesan tidak pihak pd beli tapi pd penjualpdhl rangking didpt dari beli bkn penjualtuh saya ksh bintang ksh bintang tidak direspon
Piepynz Rose,kalo bisa admin order gratis ongkir nya kak jangan
Dhani Kurniawan,good
Hikmah Tailor,bagus
Ely Rohimah,tokped semogq lebih baik dalam layan customertoko nya juga lebih di perhati emas lebih aman kurir sampai sekarang aman sopanramah
Miguel Tia,terima kasih banyak kaka udah banyak bantu saya sehat dan sukses selalu
y rachman,sangat bantu sekali dalam kesean
Yozian Aronugroho,cek barang kurang lengkap
Feryani Feyaniri,update terus prsaan
franscanel id,pokok oke
Chamim Harmain,sangat muas
Priyama Gareng,bagus muas
Kangrohim1988 Rohim,mantap betul pokok ny
Firmansyah Djauo,sangat puas pakai tokopedia
Wijna Widhayaka,kenapa ongkirnya mahal sedang di tokoh belah meski ada ongkir jugaa dapet gratis ongkir tolong dong pihak adminya banyakin gratis ongkirnya kasihan untuk masyarakat yang dana halang ongkirnya
Nur Cahya (Cahyo),barang harus datang sesuai iya
Hafiz Rahanar,untuk tokopedia tolong lepas awas pada akun google saya karena tiap saya ingin daftar lalu akun google selalu ada ingat akun google anda dalam awas
Somantri,harga dan barang nya sesuai kantong
Alliffrtama,responsif banget suka deh bahkan aku mau return barang pun di bantuin
riyan agus ariyanto,aplikasi toko online satu yg saya milik dan sgt puas atas pelayananya
Nenk Jebot,tidak bisa donlod
Rudymenz Theboy,bagus
Muh naufal Sani,oke la
charissa gracia,ini updatenya susah sekali tidak bisa
R Mulya S,bagus aplikasi bantu
asrul rul,bagus banget aplikasi nya banyak promo nya memang mantap lh kalau mau beli barang ada promo maantaapp sukses tapi
Sisca Cook,tidak bisa masuk aplikasiharus update terustolong dipeaiki
Arif Nugroho,oke
Wa Imah,suka
Nana Sutarna,mantap
MXP,gak tau sekarang kok beds banget cs nya lebih bnyak boot robot komputer jawab template semua beda sama yang dulu jawab cepat dan ngerti masalah layan turun
HILMAN N F,mohon prinsip profesional terap lagi di sistem aplikasi tokopedia yaitu customer service orang human harus adajangan cuman ada chatbot sajadan harus tokopedia atau anak usaha yaitu mitra tokopedia ngasih pemberitahuan yg jelas bahwa mitra tokopedia tidak lagi operasi terang di aplikasi mitra tokopedia hanya ngasih tahu bahwa transaksi digital alih ke tokopediasaya cek di playstore tidak ada lagi aplikasi mitra tokopedia arti sudah henti operasi iya
Asep Saepudin,keren banget
Tata Maria,kenapa tokopedia sekarang kirim lama sekalibrg saya belum sampe juga
gilang amon,murah dan yang gak donlod tokopedia rugi
Endin Faerudin,mantap coy
Arpan Arpan Gs123,mantap
ardian indo firmansyah,bagus banget buat belanja dan aman
Швтфєб Бч,oke aku dapet vocer k
Danur Mihardja,mantap
Limalas Senti,terima kasih sangat batu ada bri tokopedia
Yan Wia,tolong dalam batal order sedia alas sedia barang tidak bisa karena stok sudah habis ini alam saya kemarin belanja suruh batalin karena lupa kata
Gali davila,tokopedia applikasi yang baik tapi ongkir nya mahal
budi167,paling males update aplikasi mulu
Aji Saka,bagus
Arief,mantap sekarang sudah ada cod
Dede Zumairoh,oke
Badi Zia,bagus
Indah Nurindah,sangat puas belanja toko dia kirim cepat
Dwi Putranto,iya gak asik nih fitur cari sekaligus hilang grade
Iid Yudistian,sangat gagu
Shaka Akhlan,makin aneh saja ada promo diskon cma eh kupon gratis ongkir malah hilangsama saja kga ada potong harga di cekout malah nambah ongkir
Kami Kita,tadi alas pilih tokopedia karena ada fitur cari sekaligus sekarang ilang otomatis uninstall saja deh nih apk
Muhammad Sholihin,update
Eko Suprapto,saya mohon kepada toko dia untuk perhati jasa kirim karna ada beberapa paket tidak pernah sampai dan salain itu kirim sangat lambat akhir saya banyak belanja toko belah
Sigi Haryati,sangat muas dan praktis
Rana Jepara,mantab banget
Jonpes Andrea,baik
Nofia Friska,bagus
Arju syafaat muhammad,bagus
Mohamad Rifai,mudah amanah toko toko nya
Anda Endut,mantap byk pilih dan bisa di percaya
Yuli Purnomo,mantap
Rudy Nurwandy,kirim leletsudah buruk tokopedia toko birudan orange pesan inibesok bisa datang
Fadillah Dillah,bayar sangat mudah dan tidak rumit gampang erti trm kasih
Agus Prasetiawan,kecewa sama aplikasi tokopedia belanja item tapi yang tera di label cuman macam item alhasil dari seller cuman kirim ini dua kali saya alami hal seperti ini entah ini bug atau apa tolong dipeaiki
Syaban 123,asa sekarang eror mulu ni apk
Siti Fatimah,siapa yang mau diskon aku mah mau
Rumah Bahagia,entahh kenapa semua voucher yg saya dapet atau milikigak bisa di guna untuk checkoutentah knpdan solusi bagaimana aku gak taukarna di bantu tokopedia care gak bisa jugabikin sedihh
kindi Al jabar,keren lah
Dadang Pemda,sedikit harus grecep dalam input kode veripikasitapi barang nya insya allah kualitas
Exclusive 02,mantapppppp
RON FF,mantap
Akhun Kediuk,aplikasi ini yang paling beratlelet saat dibukasangat butuh waktu lama utk mengungah poto atau lainnyamesti nya bisa belanja itemdpt nya atau ajasaat klik nanti kembali ke awal lagikita mesti scrool lagi atas
Tini Suhartini Official,aplikasi yang mudah dan tidak ribet
Sopian boecip,oke
Fahraza Arie,saya download tokopedia buat cari komponen atau paket pc di tokopedia siapa tau ada harga murah gitu
dwi vatma,dear developer sudah bagus mohon lebih ditingkatksn lengkap produk yg jual mungkin bisa mulai dari mudah aplikasi buka toko
Muhammad Iqbal,tolong balikin menu hapus chat jadi kalo kita mau hapus chat biar gak banyak space memory makan
Nur Rahmat Rahmat,keren praktis
Jovenis Gaming,bagus
Yuliani Ekoarsi,tarik sekali
Irfan Hudi,tokopedia memang top markotopsaya tunggu pesan nya kak terima kasih
Artha putra Mandiri,puas
Ernia wahyu ningsih,oke
Zilvi Ahmad,toko dia memang mantap
Elsa Evandya,lot sekrang ribet
Ahmad Supriadi,mantap
Mulyadi Link,mantab
Susyanto,saran saya tokopedia contoh shopee ada nilai untuk kurir karena kurir enak ngirim barang lama tanpa ada nilai kasihan yg jadi sasar sellernya
Rusni Muhammad,respon keluh lebih cepat di tanggap
Syamsoel Nawawi,respon nya cepat banget aplikasi nya gampang di guna
Putri Aditia,bagus cepet murah
DASTIN PERT,mantap
Eva Dee,aplikasi belanja yg baguspengiriman cepat
Heri Siswanto,tokopedia banyakiin promo dan diskon serta gratis ongkir dong dan tingkat layan kepada beli
Pahmi Pauzia Aziz,tokopedia mantap
Master Xxx,mantap reekkk tokopedia kualitas oke bangetsuka belanja sini
Indra Hermana,great
Ardi Tungkal,oke
Ahmad Sarobi,mantap
Agista Yudhistira,oke
Gijil GG,saya bisa temu barang apa yang saya suka sini
paijo Vo,sa tambah sukses tikopediq emak matntap
nissa nurulum,dear tokped kenapa mitra tokopedia di hapus aplikasi nya saya sedih mana lagi bisa jual pulsa dll gampang dan murah itu fitur nya banyak tidak neko tidak pusing make nya sekarang aplikasi nya tiada apakah kamu sudah kere tokped jadi tidak bisa kelola banyak aplikasi masa aku harus selingkuh ke aplikasi tetangga buat ppob tolong beaik lah kembali mitra tokopedia
Agung Septa,puas sekali
kasem nur,istimewa
tri satriyo,good
Nanang Qosim,oke
VEM,keren
Enda Hermawan,mantap bagus sekali
Fudin Kchlik19,bagusss
Dede Gunawan,mantap
ZAY FISHING BORNEO,toko yang sangat manfaat
Ahmad Syawal,bagus
Riki Reza,luar biasa
Nitayy Arnita,gacor kang
Dedi Djanur,pokok bagus kah
Sujito Ahmad,belanja murah ongkir murah
Ikang Aming,sangat mudah dan lancar
Didik Setiawan,pesan kok hampir minggu blum di trima kan khasi yg punya produk tolong dipeaiki kirim nya
Sann XD,saldo refund tidak bisa dipake
Cahaya Tahajud,mantap
bebek maq,belum prnh dapat gratis ongkirrespon jual amat sangat lama sekaliga kyk di toko orange langsung gercep langsung dibls
Siti Nurhamidah,bagus tokopedia akan lebih baik jika bisa lihat nama kurir yang antar supaya lebih amanah dan kita bisa beri ulas atau rating juga untuk kurir dan ekpedisi selain pada jual tokopedia mantap untuk belanja alam saya selalu baik kurang baik bagi kurir saja saya pake jne lama banget terang beli tidak ada tempat padahal selalu ada orang rumah jadi akan lebih baik jangan atau kurang kerja sama dengan mitra yang tidak profesional tokopedia keren
iqbalomen,yang mati karena naik sepeda motor lebih banyak daripada yang mati karena vape kenapa tokopedia mudah beli sepeda motor daripada beli vape saya ingin belanja vape dengan mudah
Saniti Niti,puas dengan layan ramah
Suyitno 48,baguuuss
Maksum Jaenudin,mudah dan dapat di percaya
ZAINUDDIN ZAINUDDIN,trims atas sedia produk
Asika Indriono,kenapa sih selalu pindah menu capek banget sama tokopedia ini
Iman Sahid,maaf ini aku temu paket jatuh dari toko dia dan alamat terima kurang jelas mau nganter juga tidak bisa tolong responnya cepat lokasi jogja kretek
Rizqym Mdz,malas sekarang beli di tokopedia kirim lama banget padahal official store loh aneh tidak sih dah lah mau unistall kalo paket datang estimasi tiba - ganti lagi tgl - garansi tiba tgl mei oke aq tunggu awas kalo barang tidak ori atau hilang mau unistall kalo paket dah datang mohon lah tokopedia perhati lagi masalah kirim chat jual juga balas nya gitu saja bayang beli hp infinix di official store langsung gaes dari tgl sampe sekarang mei belum nyampe
Jumrianto 119,sebenernya males banget beli di aplikasi ini jasa kirim nya lot bgtudah kali pesan paket wajib banget kadang ada yg nyampe belum lagi paket sering tidak di update lokasi udah sampe mana update lokasi paket mau saja bikin guna atau beli jadi marah
Jaka Pranata,banyak produk kw mol nya gak faham aku
Gallen Ganendra,sering nge bug admin lagi nyari barang bom kelar ngetik udah blank putih duluan entah kenapa
Umar Abdurrahman,sangat bagus sekali
Sandy Ginda Orcans,mantap selalu ada promo toko dia sukses selalu
Agi Purhagi,oke
Amin Max78,mlayan gampang
Nurul Meddy,tokopedia barang barang sesuai dengan yang diharspkan
Muhammad Ikhwan,teaik
untung suroboyo,bantu
Sihaloho Putra dairi,mantap
Agung Rohmat,mantep
Aditya Rachman,semenjak gabung sama tiktok bagai seller ini jadi lebih ribet cair dana tambah lama jadi kalender yg harus nya udah selesai tinggal tarik dana ini masih belum juga dan buat apa sedang dalam review lebih nyaman dengan fitur tokopedia murni yg dulu kenapa harus toko gabung dengan tiktok udah gabung tapi gak bisa terus masuk ke akun seller center nya sangat kecewa dengan bijak yg sekarang
Joko Purwanto,mantab bayar di mana tetap lancar aku lagi di arab saudi
Piu dan Pou:v,sudah keren ini sahabat duolingo haha terima kasih tokpeddd
Azzam Muhyiyudin,oke oke
agus puryanto,muantap
Sandi,tokopedia sangat lengkap opsi bayar banyak produk juga bagus tidak pernah kecewa belanja di tokopedia
Ari Yan,belum pernah coba tapi karena ini apk asli orang indonesia mangkanya saya kasih bintang
catur kominfo,okk
HESTI NABILA,dear develop tolong untuk di tingkat lagi di bagi expedisi nyaa yaa utama tekan lagi untuk di semua cabang expedisi agar kirim tidak delay dan tidak di lambat kan sering banget belanja terus paket suka lebih estimasi kirim mohon untuk di perhati lagi iya admin thanks
sekai oke,menu top segera muncul admin
Toto Nano,tool home nya di munculun terus boleh admin soal sering mau kembali ke awal harus tekan kembali ulang dan di tambain fir cari dasar ekspedisi saya rasa itu penting
Pak Jenggot Fishing,good ayo bangkit lagi
Sabil Yassar,mantapppp
Kavivarma,aplikasi tidak jelas masa tidak ada terang vouher dalam sk
all trailer,banyak promo bayar mudah
Supri Widodo,ongkir nya mahal
Anglicha Michelle,error admin tidak jelas banget mau kasih ulas langsung banyak kan ada fiturnya tapi telah di kasih satu satu udah kan abis itu cek lagi pasti kan malah ilang tulis nya atau engga ulas pindah ke ulas yang beda sama yang harus bener
KANG MULET YT STORE,tokped saya tidak saran kan karena status update barang sanggat lama sekali biasa bisa kali update tentang barang kirim saya sanggat tidak rekomendasi untuk tokopedia ini kirim dan update stuts sanggat lama jadi buat teman lebih baik pake shope saja lebih oke dan yang pasti sudah terin status nya lebih cepat update dari toko dia ini
AJAT SUDRAJAT,minus banget
Moh Faizun,salam tokopedia saya beri masuk misal dalam aplikasi tambah fitur cetak transaksi yang dapat koneksi dengan printer thermal
Salim Jindan,aplikasi yang bagus sekali mudah di guna dan gampang untuk di paham sangat bantu sekali belanja cukup dengan klik saja tidak perlu repot keluar rumah
Indra Wijaya,oke
Kamri Liptaul irkham,nicee
Yosi Tatuwo,oke baik
Charis,batal otomatis nya rangin jadi kalo bisa saya beli barang gak di proses nungguin sampe tanggal cik
Kusmanto,lumayan cepet kirim nya
Ahmad Faozi,untuk mes nya kirim selalu di tunda tunda jadi gak se cepat shopee
Agung Yuni Prabowo,gooddddd
Setan123 45,sangat bantu
Rohmankreatipmebel Mebelkreatiprohman,mantap
Aidil Dil,sangat bagus banyak disko
Kholiku Zain,oke
Lion Bastian,teaik
Triasih Setiyani,mantul
Yasir Sir,sangat muas
sugi arjo,layan
mbelgedes,fitur chat tidak bisa di hapusterkadang ada yg privasi member plus kalau beli rokok harus ke web sedang di web tidak bisa gratis ongkir dan kupon
chandy maulanha,mantap
Khayra Kph,mantap
Andi Aldiansyah,sudah bagus cuman untuk topup uang elektronik brizzi ko tidak adamohon tambah jadi semua kartu elektronik bisa support
chusni cell,untuk sekarang masih oke
Yuni Suryani,ke belakang langgan banget belanja di tokopedia karena banyak voucher cashback dan diskon tapi sekarang semenjak gabung sama tiktok jarang belanja karena tidak ada diskon udah gitu pake kurir rekomendasi paket lama tidak di antar ke rumah sampe sering hilang aduh udah nyaris tidak pake aplikasi ini lagi
Maulana Maruf,kenapa tiap mau buka tokped pin harus peaharuin aplikasi
Rei Han,mudah untuk transaksi cara aman dan mudah
Andhika Nafis Muzakki,topup e toll lewat tokped gak masuk padahal saldo sudah potong sudah komplain lwt tktk gak dibales
syamsul gold,kalau bisa ongkirnya jangan mahal banget kalau bisa gratis amin amin
Hariyanto Yanto,mudah antokopedia depan nya beri layan teaik kepada semua customer tidak boleh pilih pilih kepada semua customer dengan sepenuh hatitulusikhlas tanpa ada pamrih
Saya Dany,mantap
khoiry arya penangsang,sangat bantu
Rasyid Dalimunthe,info cancel bayar cepat
Anton Anthony,good job
Suhendar Hadi Darma,wishlist baik tempat langsung di dashboard utama misal di samping ikon keranjang saat ini ikon wishlist baru muncul di dalam keranjang sehingga sulit guna karena harus masuk ke keranjang dulu untuk akses wishlist dan kategori barang belanja selain itu aplikasi ini masih banyak bug saat saya coba cari barang aplikasi sering henti tiba dalam waktu kurang dari guna muncul notifikasi aplikasi henti
Abdur Rahman,sangat mudah
LoL name,aplikasi ini sangat sempurna turut aku turut kalian gimana
Ratna Kosasih,sgt profesional
Yogan Aja,bagus
Pengguna Google,bnyk cashbacknya
Zamy Anzaman,salah fatal tokopedia itu pilih kurir gratis ongkir pake kurir lelet kaya keong bikin males beli sini belah pake kurir - sampe
Maura Azzahra,bagus bangetttt aku suka gak pernah gagal
Soni Sonjaya,bagus
BASUKI,siip
Roy Dedi,telah update review langsung refund dana masuk good
D Gesang Rofiyanto,udah bagus tpi ada sedikit saran tolong tambah fitur nilai untuk ekspedisi soal banyak masalah di ekspedisi dripda di toko nya
Adi Hidayat,saya cuman marah sama ekspedisi kurir di tokped sih sebenrnya masih lbh oke shopee dan ekspedisi spx nya gercep anter barang
Iman Setiana,enak pakai
Naswa Nanda,apk nya sangat bantu sekali
Ujang Jarnuji,keren
gado - gado cenel sak eneke,oke
Ggfff Fgjjkfdd,bagus aplikasi untuk beelanja
Lucky Mawu,mantabbbb
Bintang Jaya,good
agape art and craft studio,kenapa jadi tidak bisa hapus chat inbox hp ny jadi lemottolong dong aktifin lagi fitur hapus chat kaya ap seller yg lain biar hpnya g lemotkebanykan chat
Emil Jhon,mantapefisien
Jojo Arifin,bagus banget
Armanta RG Family,untuk fitur gopay pin mohon ditambhan - tenor tambah yg lebih tenor tinggi sekarang bulan agar bisa buat lebih nyaman
Sr Ks,jauh ini cukup puas dengan tokopedia baik jual barang atau beli barang terima kasih
Asemi 871,permisi untuk developer saya saran mohon di adakan rating untuk karna sekarang lebih banyak kendala di banyak customer yang keluh dan pada akhir customer lampias ke seller terima kasih
Femmy Lusiana Gusti,mantap
Wilia Handi,goodlah
Nurhapipa,mantabbbbb
Imam Agus,brang yg dbtuhkan dcri kdang tidak ada
Bambang Wilis,mudah untuk kembali barang tidak beelit dan produk banyak diskon dan gratis ongkir serta produk berkuwalitas dan murah
abe upek,baik
Pitri Pit,kren sekali
On on Hasbullah,lanjuuut
musa padang,sangat bagus dan puas pakai tokopedia
TARWAN chanel Setiawan,turut saya sih aplikasi ini kurang bagus utama masa kirim barang
Abdurrahman Fatih,belanja lebih mudah
sirajuddin ibrahim,mantap
siti zulaeha,banyak banget promosi nya
Comlihela Atuh,buka metode bayar susah sih aneh banget padahal versi yang kmaren biasa saja
Juliarta Ketut,dana saya endap di mitra tokopedia tidak bisa saya pakai jual pulsa juga belum bisa saya refund bagaimana cara agar bisa pakai
Suprapti,mantap betul banget
Fauzi My,belanja online yang murah dan kualitas
Adink gombal,baik
Irfan Sutriono,tingkatkkan lagi kak
Aldi Nugraha,keren
Andreas Gunawan,good
olfbrynt__,mantabn
Iislamiyah 500,sering minta abdet
Nine kaizoo Kai,oke
Diron,baik
Popong Popong,mantap
Sri Bintisarim,iklan sangat menggaggu
Sopian Hadi,dulu karena baru coba moga lancar biar aku tambah bintang
Bang Lyyex,gj sering kali masalah produk tidak sedia di android
Tirta Saputra,sudah pakai tokped dari lama makin kesini malah pelit sekali bahkan tidak pernah dapat vocher potong harga
Sri Ning,dengan tokopedia belannja jaxi lebih mudah
Joko Priadi,mantap
Ahmad Fadli,mantabbssss
Pengguna Google,bkin ssh seller upload foto qrain msh ada foto dan bisa di edit trnyta fiktif kalau sudah hapus sistem sekali sama sistem di etalase toko seller biar tidak keliru karena produk msh ada stock biar bisa tempel foto lagi
Agung Darmanto,boleh juga tpi ada yg kurang diskon
Tintin Kartini,peanyak vochernya iya
Sandi Gaming,update kirim lama
Cupid Love,tolong kak untuk vt di tiktok apa salah nya sih kak pakai gambar saya tidak punya sampel dan saya juga tidak rugi seller minta sampel saya di tiktok bikin vt gambar akhir ini di kasih poin padahal sebelumx nya cuman di sanksi tolong bijak nya rubah kak ini kok jadi takut mau kreasi lewat vt saya cuman affiliate kecil
Jenny Dharma,lumayan lah
Ahmad Wildan,mantullll broppp
Indri Dwi Pertiwi,makin kesini tokopedia makin pelit gratis ongkir harus saing dgn aplikasi lain yg bny gratis ongkirnya banyak bonus pilih toko juga lebih banyak
Asb Property Channel,proses cepat belanja dsini kami puas trmksh tokped
